POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
201,0.49,17.49,16.87,4.29,0.17,0.0,5.87,-24.32,68.14,18.91,-16.78,3.2,0.0,107.9,-13.57,94.32
221,0.51,17.22,15.17,4.0,0.46,0.0,10.69,-26.58,67.53,18.2,-16.02,3.22,0.0,107.19,-12.8,94.39
241,0.61,19.33,12.44,5.32,0.13,0.0,5.88,-24.5,68.05,15.68,-16.21,3.22,0.0,102.93,-12.99,89.94
261,0.55,12.72,12.1,3.31,1.2,0.0,8.92,-23.04,67.64,15.49,-16.38,3.22,0.0,98.89,-13.15,85.73
281,0.82,15.2,10.59,5.39,0.38,0.0,12.17,-26.25,67.61,15.8,-15.6,3.2,0.0,101.72,-12.4,89.33
301,0.57,14.87,15.19,6.46,0.43,0.0,7.06,-23.22,67.07,16.45,-17.07,3.21,0.0,104.87,-13.86,91.02
321,0.81,14.02,13.25,7.34,0.77,0.0,8.99,-18.97,67.97,12.83,-17.03,3.23,0.0,107.0,-13.81,93.19
341,0.37,15.76,18.44,3.74,0.71,0.0,3.73,-23.86,68.99,17.94,-17.09,3.19,0.0,105.81,-13.89,91.92
361,0.67,15.23,16.7,5.34,0.1,0.0,4.22,-10.37,66.25,12.33,-23.1,3.24,0.0,110.47,-19.86,90.61
381,0.4,17.25,14.25,7.37,0.73,0.0,7.76,-23.56,68.8,13.55,-15.36,3.18,0.0,106.57,-12.18,94.39
401,0.59,12.77,25.21,4.17,0.18,0.0,4.89,-15.52,67.59,12.82,-19.39,3.17,0.0,112.7,-16.22,96.48
421,0.68,13.52,23.82,3.95,1.17,0.0,6.01,-17.86,64.39,15.6,-20.01,3.18,0.0,111.27,-16.83,94.44
441,0.7,15.02,14.7,4.84,0.06,0.0,4.67,-16.44,64.06,17.3,-21.99,3.18,0.0,104.91,-18.81,86.1
461,0.71,12.62,15.75,4.56,0.08,0.0,6.12,-20.67,65.97,17.44,-19.32,3.15,0.0,102.58,-16.17,86.41
481,0.55,12.89,13.43,4.44,0.28,0.0,9.85,-25.54,68.39,17.78,-16.46,3.17,0.0,102.07,-13.29,88.79
501,0.61,18.6,13.54,4.96,0.07,0.0,6.54,-19.25,67.56,14.04,-16.73,3.14,0.0,106.66,-13.59,93.07
521,0.78,12.81,12.78,4.92,0.31,0.0,9.86,-21.53,66.63,15.43,-18.7,3.17,0.0,101.99,-15.53,86.46
541,0.58,14.32,17.54,4.09,0.12,0.0,6.49,-19.71,68.04,16.66,-18.38,3.17,0.0,108.15,-15.21,92.94
561,0.72,12.7,12.47,4.59,0.77,0.0,14.04,-25.31,67.26,15.13,-15.4,3.18,0.0,102.39,-12.22,90.16
581,0.38,11.71,21.36,5.09,1.09,0.0,6.17,-14.28,66.44,11.6,-22.15,3.19,0.0,109.56,-18.96,90.6
601,0.56,10.42,13.43,3.98,0.29,0.0,8.4,-21.55,67.91,18.26,-18.38,3.13,0.0,101.69,-15.25,86.44
621,0.42,13.17,16.83,4.64,0.09,0.0,6.57,-18.11,67.62,15.67,-18.14,3.17,0.0,106.89,-14.97,91.92
641,0.87,18.04,15.42,5.54,0.26,0.0,8.53,-22.63,65.29,15.99,-16.37,3.19,0.0,107.31,-13.19,94.12
661,0.8,10.42,13.86,3.21,0.98,0.0,11.22,-24.25,67.62,15.22,-14.51,3.2,0.0,99.08,-11.31,87.77
681,0.58,21.46,13.23,4.91,0.42,0.0,8.9,-23.76,65.53,16.11,-16.51,3.21,0.0,107.39,-13.3,94.09
701,0.84,16.42,16.8,4.08,0.33,0.0,7.38,-27.21,69.1,19.19,-15.69,3.19,0.0,106.92,-12.49,94.42

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,0.0,0.0,0.0,-0.0,-0.0,0.0,-38.95,-8.55,-0.0,-0.0,29.59,-4.61,0.0,-47.5,24.98,-22.52
21,0.0,-0.0,-0.0,-0.0,0.0,0.0,-34.57,-34.48,0.0,-0.0,39.04,-4.47,0.0,-69.05,34.57,-34.48
41,-0.0,-0.0,0.0,0.0,0.0,0.0,-37.48,-21.73,0.0,-0.0,36.69,-4.49,0.0,-59.21,32.2,-27.01
61,0.0,0.0,0.0,0.0,-0.0,0.0,-44.36,-8.63,0.0,0.0,28.7,-4.35,0.0,-52.99,24.34,-28.65
81,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-43.7,-7.42,0.0,-0.0,41.61,-4.57,0.0,-51.12,37.04,-14.08
101,0.0,-0.0,-0.0,0.0,0.0,0.0,-41.09,-4.18,0.0,0.0,32.82,-4.58,0.0,-45.26,28.24,-17.02
121,0.0,0.0,0.0,0.0,0.0,0.0,-40.02,-5.76,0.0,0.0,30.88,-4.44,0.0,-45.79,26.44,-19.35
141,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-43.7,-4.02,-0.0,-0.0,37.21,-4.55,0.0,-47.72,32.66,-15.06
161,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-38.67,-5.03,-0.0,-0.0,33.76,-4.6,0.0,-43.7,29.17,-14.53
181,-0.0,0.0,0.0,-0.0,0.0,0.0,-40.98,-3.89,-0.0,-0.0,26.3,-4.63,0.0,-44.87,21.67,-23.2
201,-0.0,0.0,-0.0,0.0,-0.0,0.0,-40.54,-3.22,0.0,0.0,24.7,-4.79,0.0,-43.76,19.92,-23.84
221,-0.0,0.0,0.0,0.0,-0.0,0.0,-38.86,-1.95,-0.0,0.0,24.8,-4.75,0.0,-40.81,20.05,-20.76
241,-0.0,-0.0,0.0,0.0,-0.0,0.0,-36.04,-9.77,0.0,-0.0,22.7,-4.54,0.0,-45.82,18.16,-27.66
